prolific_id,age,gender,religion,ethnic_group,education,primary_language,type_of_residence,income,political_stance
6478e5fc76f5ecbc4f0ed353,25-34,Male,No Religion,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$40,000 - $49,999",Libertarian
6030ac6fe9ee913af8f49a8f,18-24,Male,No Religion,Mixed,High school diploma/A-levels,English,Suburban,"$20,000 - $29,999",Very liberal
5d7ff85ffec5620017b07c40,45-54,Female,Christianity,Mixed Mexican/White,Technical/community college,English,Urban,"$10,000 - $19,999",Very liberal
5c7c441a4da3e60001b66871,25-34,Female,No Religion,Hispanic or Latino,Undergraduate degree (BA/BSc/other),English,Urban,"$20,000 - $29,999",Very liberal
66200b032829f40f3664afdf,45-54,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Urban,"$30,000 - $39,999",Very liberal
67e3126f2bfefc992d4dace9,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"Less than $10,000",Very liberal
67887ed5271759466f1ed65a,18-24,Female,Christianity,Hispanic or Latino,High school diploma/A-levels,"English, Spanish",Rural,"$10,000 - $19,999",Conservative
669a92a7634bd2faf6fec077,55-64,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$10,000 - $19,999",Conservative
670c06bb7926d2525a7a7755,25-34,Male,Christianity,Black or African American,High school diploma/A-levels,English,Urban,"$70,000 - $79,999",Very conservative
65dfb9ef84f2b03399eecc6c,45-54,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$10,000 - $19,999",Moderate
67f1b8abe144ffdfc27d371a,25-34,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$90,000 - $99,999",Conservative
673b77b11f79e3de7bc5d44f,35-44,Female,Spiritual but not religious,multiracial,Undergraduate degree (BA/BSc/other),English,Rural,"$40,000 - $49,999",Liberal
6643a8837540ee80f2d5be45,55-64,Female,Christianity,White or Caucasian,Technical/community college,English,Suburban,"Less than $10,000",Very conservative
67e367400bcbb8a5e7da0f5c,25-34,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$40,000 - $49,999",Moderate
672d127c0844b35fabc0dae8,25-34,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$10,000 - $19,999",Very conservative
5f6388bf9ae5ad07ba1a0173,45-54,Female,Christianity,White or Caucasian,Technical/community college,English,Suburban,"$50,000 - $59,999",Liberal
67ec594ad0dc026fb8cfd205,25-34,Male,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$40,000 - $49,999",Conservative
5c312101867f660001b05bf6,35-44,Female,No Religion,Hispanic or Latino,Graduate degree (MA/MSc/MPhil/other),"English, Spanish",Suburban,"$100,000 - $149,999",Very liberal
67196681fa6b6f118affbf51,45-54,Female,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$60,000 - $69,999",Liberal
66ccb4b5272f83f89a284318,35-44,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$80,000 - $89,999",Very conservative
6676fab6295042ff191ead64,25-34,Male,No Religion,White or Caucasian,Doctorate degree (PhD/other),English,Suburban,"$100,000 - $149,999",Very liberal
5d42486206811e001ada5b4b,45-54,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$60,000 - $69,999",Liberal
67f285e8ed3cbad7b5e581d9,25-34,Female,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Urban,"$70,000 - $79,999",Liberal
67d95b52be97905a048845c7,55-64,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Conservative
66464354449c2d4c2de11537,25-34,Non-Binary,No Religion,Hispanic or Latino,Undergraduate degree (BA/BSc/other),English,Suburban,"$30,000 - $39,999",Moderate
67da73fbdcd403168e1cde51,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"More than $150,000",Very conservative
5ba292385301b80001c71ba2,45-54,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$100,000 - $149,999",Very conservative
660af34a8c1982e812803640,55-64,Female,No Religion,White or Caucasian,Technical/community college,English,Urban,"$10,000 - $19,999",Very liberal
6682b197d953c2cf476e0bd7,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$70,000 - $79,999",Conservative
6697db687b72c375cbe3cf3f,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"More than $150,000",Conservative
66a7f83a3e18dd8dc65b900a,45-54,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$50,000 - $59,999",Conservative
66dd295061c6ca0b64731051,18-24,Female,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Suburban,"$100,000 - $149,999",Conservative
5b5a822e1ad8270001c4f28d,35-44,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Urban,"Less than $10,000",Moderate
5d49a0b751695e0001a188a8,55-64,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$100,000 - $149,999",Very conservative
628e196e63bc7ab9e6c6caea,35-44,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$20,000 - $29,999",Very liberal
67e08dc7306d294ffe990601,65-74,Male,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Urban,"$60,000 - $69,999",Very conservative
67de239c06b421f44e118eaf,45-54,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$10,000 - $19,999",Moderate
5dd42e7f35cf744223c60d1b,35-44,Male,Atheist,White or Caucasian,Technical/community college,English,Suburban,"$30,000 - $39,999",Conservative
67e325c44f7a825ca958bf2a,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$70,000 - $79,999",Conservative
67ecca121e3a43c36774dd06,25-34,Female,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Rural,"$20,000 - $29,999",Very conservative
67e926ff4b842f35ff1e9e83,18-24,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$50,000 - $59,999",Very liberal
67eebc10120855fed45ae886,25-34,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Conservative
5c74e7e9c3fe130001e86cc8,35-44,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$80,000 - $89,999",Moderate
5685850c333cbd000d4e042f,25-34,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"Less than $10,000",Liberal
67db6f15940ed1d6283b5d9f,45-54,Male,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Urban,"$30,000 - $39,999",Conservative
672c2f23e4984e3a43bf3525,35-44,Male,Christianity,Hispanic or Latino,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$100,000 - $149,999",Liberal
67cccc70ea11ab9caa72da49,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$80,000 - $89,999",Very conservative
67793c3fcba4043f54daada9,18-24,Female,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$30,000 - $39,999",Conservative
67ec0658eb5e33f1044d6d08,55-64,Female,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$90,000 - $99,999",Liberal
67f2f21566845680db26b0e8,18-24,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),"English, Spanish, German",Suburban,"$50,000 - $59,999",Conservative
67832bdc952d709ac50d4917,45-54,Male,No Religion,Hispanic or Latino,Undergraduate degree (BA/BSc/other),"English, Spanish",Urban,"$10,000 - $19,999",Conservative
67f2bf644b07a179655d1b94,18-24,Female,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Conservative
676304145bbe20d1fd5d653c,35-44,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Moderate
662948ed99960b11f2f8e3fe,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$80,000 - $89,999",Very conservative
65ee4106d4b632b7fb7a3f79,35-44,Male,Islam,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Moderate
6633bd3bc5ec5e52e25592a4,45-54,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Rural,"$30,000 - $39,999",Conservative
678799120a3f198fe9981b65,25-34,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Conservative
67c5f7da64afd036b5ef1301,55-64,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Very conservative
64275e53f51a5ed4f6b7d019,35-44,Male,Christianity,Asian,Undergraduate degree (BA/BSc/other),English,Urban,"$90,000 - $99,999",Very conservative
67e6a14955e0c06b415f9049,35-44,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),"English, Spanish",Urban,"$60,000 - $69,999",Conservative
605bc8caf9e0b0f799baf6da,35-44,Male,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Liberal
677d70955883af4bcdf7ff6c,45-54,Female,Spiritual but not religious,White or Caucasian,Technical/community college,English,Rural,"$90,000 - $99,999",Conservative
67ce1feb43ee9200186c94b3,65-74,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$50,000 - $59,999",Conservative
67dfb626441908dab6fc7446,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$70,000 - $79,999",Conservative
67d92fa595ecba29c579fb7f,25-34,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Rural,"$40,000 - $49,999",Moderate
58935d5d4d77be0001689f14,25-34,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$90,000 - $99,999",Conservative
66c62d55724d29c2c0037a44,35-44,Male,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$100,000 - $149,999",Very liberal
67cf1cb8591c77fadc367465,25-34,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$70,000 - $79,999",Very conservative
67df84148af0d46c80736df4,35-44,Male,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Urban,"$90,000 - $99,999",Liberal
67e3b1c207ad42f6f898e428,25-34,Male,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Conservative
62fbdda6e4b5a034b71296f8,25-34,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Rural,"$40,000 - $49,999",Very conservative
5dfe3e8b7adf4bade99190f0,45-54,Male,Christianity,Hispanic or Latino,Undergraduate degree (BA/BSc/other),English,Suburban,"More than $150,000",Liberal
67d5d4fbc30550918f98abef,35-44,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Conservative
66463a3b43cd8f961e3cc8c3,25-34,Male,Spiritual but not religious,White or Caucasian,High school diploma/A-levels,English,Suburban,"$20,000 - $29,999",Libertarian
6643b6fb7e72fe56a2609f73,35-44,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$40,000 - $49,999",Very liberal
63d569384ae2cf6d4dce7c32,45-54,Female,No Religion,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$20,000 - $29,999",Very liberal
5f1dea279f4818757f07f087,55-64,Female,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Rural,"$40,000 - $49,999",Moderate
674696d5ad8d317b574a1344,25-34,Female,Spiritual but not religious,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$60,000 - $69,999",Conservative
67d5ad565d7133672bf783d6,45-54,Male,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Suburban,"More than $150,000",Very liberal
59dc4083ae9f950001d83b4b,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Rural,"$30,000 - $39,999",Moderate
67d71b625a501c1ff9bc9e9b,25-34,Female,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$100,000 - $149,999",Conservative
67edf0b51b5bd671db6a9372,45-54,Male,Christianity,White or Caucasian,Technical/community college,English,Suburban,"$40,000 - $49,999",Conservative
62eaf1d2015ba1448aa273c4,25-34,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$20,000 - $29,999",Very conservative
655f95ffd90905e27c938a49,25-34,Female,Christianity,Asian,Doctorate degree (PhD/other),English,Suburban,"$60,000 - $69,999",Moderate
5ae7f99bd5ec5e000175f097,35-44,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$100,000 - $149,999",Moderate
665d92a608fef982937744df,45-54,Male,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Suburban,"More than $150,000",Moderate
5fd534f0810e223644675a77,25-34,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$40,000 - $49,999",Liberal
66e181bc7028b738598d9fd1,35-44,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$60,000 - $69,999",Moderate
5c28feff5ffcb7000128a541,45-54,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$80,000 - $89,999",Conservative
6674d20dd828915161031f65,65-74,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$60,000 - $69,999",Conservative
67a7caa0cc766deedab56067@email.prolific.com,55-64,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Rural,"$40,000 - $49,999",Very conservative
66c215f37fb5c5aced53c73e,25-34,Male,Christianity,Hispanic or Latino,High school diploma/A-levels,English,Suburban,"$90,000 - $99,999",Moderate
67414dcbcf89f6a633385d49,25-34,Male,No Religion,White or Caucasian,Technical/community college,English,Urban,"$10,000 - $19,999",Liberal
5d3221b8eb6cfa0001950113,45-54,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Urban,"$100,000 - $149,999",Conservative
64d50c4b3a44318d98f4f5b2,45-54,Female,Christianity,White or Caucasian,Technical/community college,English,Suburban,Rather not say,Moderate
67da14ccd38d6a25f0c0c531,25-34,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$10,000 - $19,999",Liberal
67f0756f11bafb18b8c997d5,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$80,000 - $89,999",Liberal
5f1bf8c6fe7ca34249b7c334,25-34,Female,Spiritual but not religious,White or Caucasian,Technical/community college,English,Suburban,"$30,000 - $39,999",Liberal
67fd00529ffe943e3d2c2c17,35-44,Female,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Very conservative
5865bdf7a3462300010673e3,45-54,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Rural,"$30,000 - $39,999",Conservative
65df91e4d7cc9b78f35bfe6f,18-24,Male,Christianity,Hispanic or Latino,Undergraduate degree (BA/BSc/other),"English, Spanish",Urban,"$60,000 - $69,999",Liberal
67fa29fdf53b833409215401,25-34,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$70,000 - $79,999",Conservative
67ce27d878c7752df5a6d1f4,18-24,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Conservative
674f22af21d6a0d92c657422,55-64,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),Polish,Urban,"More than $150,000",Conservative
67d2184896b0a15484e937da,25-34,Male,No Religion,Asian,Undergraduate degree (BA/BSc/other),Cantanese Chinese,Urban,"$10,000 - $19,999",Liberal
66073d09f66221547cbf2599,25-34,Male,Christianity,Hispanic or Latino,Technical/community college,English,Urban,"$60,000 - $69,999",Moderate
6631ed61c9197c837183d479,18-24,Male,Christianity,Black or African American,High school diploma/A-levels,English,Suburban,"Less than $10,000",Very liberal
67db8d175e3b6a82b7290425,25-34,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Suburban,"$50,000 - $59,999",Liberal
6754c632477f9899a74314fd,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$70,000 - $79,999",Conservative
67a66df6a1cd5d37be122139,18-24,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$10,000 - $19,999",Very conservative
660460162a2b3e5c554cf140,55-64,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$60,000 - $69,999",Liberal
5ce1f31a27efac0018821eed,45-54,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Rural,"$10,000 - $19,999",Moderate
66b96a1bccbb002158c59bd3,55-64,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$70,000 - $79,999",Very conservative
673e079dfb59333c4f4a3867,18-24,Female,No Religion,Asian,High school diploma/A-levels,English,Suburban,"Less than $10,000",Liberal
67e8256e3ab0b27afd3bf68a,35-44,Female,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$40,000 - $49,999",Conservative
67d83dbc9841fee871a6bebf,25-34,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Suburban,"$70,000 - $79,999",Conservative
67d3768e33dab46007042d57,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Conservative
67acb9892d24db4d61a856f5,35-44,Female,No Religion,Hispanic or Latino,Technical/community college,"English, Spanish",Urban,"$100,000 - $149,999",Conservative
5f0a7dec44c42c19a6c9f6d9,35-44,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$40,000 - $49,999",Liberal
67df19d8dfaa291bdd177c93,25-34,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$50,000 - $59,999",Conservative
5d6376ec7e447f001c971315,65-74,Female,No Religion,Black or African American,Technical/community college,English,Urban,"Less than $10,000",Very liberal
67e35072851677c4f8034159,25-34,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$20,000 - $29,999",Liberal
60ff50ad8ad970df506a9c6b,25-34,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$30,000 - $39,999",Very liberal
678d96b032eae41a56f4f55a,45-54,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Urban,"$100,000 - $149,999",Conservative
67cf6b116144730ec8906b48,25-34,Male,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$70,000 - $79,999",Conservative
5f70ff16b9894a71cb8f5d91,18-24,Female,Christianity,Black or African American,Technical/community college,English,Suburban,"$30,000 - $39,999",Liberal
6298ec5a536b0a7876579a22,45-54,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Rural,"$70,000 - $79,999",Very conservative
67cde0aef70bb7c2d6a6ee74,25-34,Female,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$50,000 - $59,999",Conservative
67e5ebfad8af26b1bb60e460,45-54,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Conservative
67ece0845fb4dfc7f90e49ed,45-54,Male,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Rural,"More than $150,000",Conservative
66a529d528f1beaaf60ec987,35-44,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$50,000 - $59,999",Very conservative
67e9c186f27697843d6e9ee7,25-34,Male,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$30,000 - $39,999",Very conservative
67f2aa508181e05a0c857e51,35-44,Female,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$10,000 - $19,999",Conservative
67dd49c5b86cdc10df6d7e70,55-64,Male,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Urban,"More than $150,000",Conservative
6733ed4fe3f6345783c99be8,55-64,Male,Spiritual but not religious,White or Caucasian,High school diploma/A-levels,English,Urban,"$70,000 - $79,999",Conservative
67f0e7c87779f9393f8b8261,25-34,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$10,000 - $19,999",Conservative
669036d23349747de1e78aba,55-64,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$30,000 - $39,999",Liberal
65847ecf0896ca006d2c00b7,25-34,Female,No Religion,Asian,Undergraduate degree (BA/BSc/other),English,Suburban,"More than $150,000",Liberal
67acb7cbcaecf035a2d9f322,55-64,Female,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Rural,"More than $150,000",Conservative
67cb5baef51d73572cb490ae,25-34,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Conservative
5e68defb230fc417cd72d6e6,35-44,Female,Spiritual but not religious,White or Caucasian,Technical/community college,English,Rural,"$70,000 - $79,999",Moderate
